Reaction Components
Input Species:
3 K+
1 OH-
1 CO3-2
"1 ACETATE,AQ"
Output Species:

Temperature (C),Pressure (bar),LogK,DeltaG (cal/mol),DeltaV (cm3/mol),Water Density (g/cm3),Dielectric Constant
360.00,330.00,-161.1563,466575.5468,499.6388,0.638893,15.310748
361.00,330.00,-160.8803,466512.2678,515.2128,0.636156,15.183861
362.00,330.00,-160.6044,466446.4114,531.6971,0.633371,15.056018
363.00,330.00,-160.3283,466377.7564,549.1985,0.630534,14.927069
364.00,330.00,-160.0521,466306.0810,567.8371,0.627640,14.796871
365.00,330.00,-134.7092,393086.3900,35780.2294,0.160398,2.761284
366.00,330.00,-134.1468,392058.8897,35792.1520,0.159826,2.748947
367.00,330.00,-133.5849,391027.3451,35804.9961,0.159254,2.736682
368.00,330.00,-133.0297,390010.4482,35816.4934,0.158701,2.724772
369.00,330.00,-132.4717,388980.4763,35829.8989,0.158138,2.712790
370.00,330.00,-131.9207,387965.7521,35841.7387,0.157595,2.701158
375.00,330.00,-129.1874,382880.9973,35905.3713,0.154915,2.644540
380.00,330.00,-126.5181,377862.4676,35962.9569,0.152368,2.591401
385.00,330.00,-123.9038,372887.3740,36014.9468,0.149917,2.541051
390.00,330.00,-121.3557,367993.5845,36054.6244,0.147581,2.493627
395.00,330.00,-118.8665,363163.1348,36083.8136,0.145330,2.448616
400.00,330.00,-116.4352,358396.9780,36102.2817,0.143156,2.405790
410.00,330.00,-111.7642,349129.7451,36097.7317,0.139055,2.326576
420.00,330.00,-107.3397,340216.6495,36041.8326,0.135231,2.254704
430.00,330.00,-103.1570,331676.4305,35938.2893,0.131645,2.189149
440.00,330.00,-99.2207,323557.2219,35787.2327,0.128288,2.129322
